Pathway	RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0	0	0	11.6994	0	0	4.13545	17.8653	0	2.83453	30.7658	0	0	0	0	9.22328	4.88197	0	15.6459	4.8964	0	54.8798	2.37543	16.4578	7.53403	0	15.7893	11.991	22.9585	5.0073	5.3533	10.8674	0	0	32.0008	9.78342	28.7347	111.079	34.3924	44.2632
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0	131.398	13.4766	50.0996	84.713	14.6094	40.2275	24.6753	178.527	97.4725	126.217	198.873	24.0062	51.2913	39.4008	59.1594	105.733	61.2995	243.276	391.543	128.291	190.595	100.756	175.172	226.625	43.7798	89.6949	98.1862	157.436	47.8104	290.589	228.805	217.035	500.564	398.697	88.5242	162.492	133.138	124.044	405.352
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	41.3632	205.494	24.8885	94.0186	257.028	107.814	95.3604	109.318	506.064	232.948	133.094	400.559	58.5147	49.4279	68.2515	71.614	97.2693	129.408	463.983	805.529	333.535	283.288	78.7252	457.146	212.29	51.2013	133.751	208.764	158.582	64.5739	358.191	308.588	186.312	503.994	178.426	181.879	278.433	456.783	163.483	210.353
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0	122.682	0	14.1846	93.7603	17.4133	38.3018	18.7984	133.581	50.9202	75.192	150.47	19.9818	31.3947	0	0	19.9936	83.1125	159.703	220.662	77.0019	132.35	33.9847	136.691	137.848	33.821	54.6016	67.9931	43.1618	27.8536	208.128	153.845	189.562	635.234	127.984	71.6607	133.016	89.9767	66.7213	216.792
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.50437
ORNDEG-PWY: superpathway of ornithine degradation	0	0	0	0	0	0	0	22.8531	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7589	0	0	0	0	0	0	0	0	0	0	0	0	8.65121	0	1.99775	20.6829	16.3828	24.5777
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	5.20223	0	0	6.5267	11.2142	0	2.82281	0	0	0	0	33.1234	0	0	0	0	7.58995	0	0	0	0	19.0405	0	0	2.99496	0	0	17.4028	0	5.36485	7.54737	6.03629	0	0	11.3126	0	5.29502	90.412	0	28.6458
P108-PWY: pyruvate fermentation to propanoate I	0	0	0	0	0	0	0	1.95794	0	0	16.8178	0	0	0	0	6.0388	0	0	7.31277	0	7.31336	23.249	0	0	0	0	0	0	0	0	19.7257	0	0	0	3.72473	0	0	26.1812	14.095	5.42407
P122-PWY: heterolactic fermentation	0	0	0	9.24997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.44	0	20.4959	10.5179	0	0	4.00036	23.6198	1.09775	9.61778	0	0	25.8909	0	0	0	0	0	2.48271	56.6884	27.5864	8.57156
P124-PWY: Bifidobacterium shunt	8.41875	0	0	14.4815	0	0	0	0	15.8884	0	0	0	0	0	0	0	0	0	142.506	34.703	39.1129	12.6442	0	48.0444	4.06281	52.1593	0	11.5914	0	0	41.411	0	0	0	4.52592	0	0	0	0	14.962
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0	0	0	2.62858	0	0	0	8.7302	0	0	0	0	0	0	0	0	0	0	0	0	64.0431	3.66704	0	8.4239	0	0	0	0	0	1.62758	8.45229	0	2.46362	33.6552	0	6.25968	54.3453	4.19995	2.6366	0
P161-PWY: acetylene degradation (anaerobic)	0	4.00109	0	8.5799	84.0027	0	0	0	27.9204	13.2724	11.7016	17.1829	0	7.0191	0	9.98622	0	10.5717	31.5215	0	20.8451	184.493	0	45.6951	2.53145	10.3565	13.1338	20.463	11.3104	0	46.4923	18.3083	12.7487	46.2713	11.499	12.1022	26.4246	43.2179	38.0348	27.1469
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.70992	0	0	0	0	0	0	0	0	0
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.8243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	0	29.3961	5.78671	0	156.951	0	16.5487	7.83568	19.3404	47.7609	61.0842	74.7162	7.78831	16.8253	9.35174	16.1786	18.4166	37.9085	74.4731	319.461	38.7048	45.0195	16.992	91.2966	35.5892	5.51693	23.4553	33.1192	29.3846	22.33	43.1217	43.4049	54.5	243.815	47.5067	102.75	31.8051	22.8303	60.1682	70.5744
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	8.25116	12.2261	0	4.03831	12.6454	0	10.6434	5.34574	32.424	11.3327	0	11.5391	5.20278	8.02696	10.9715	13.3873	9.9686	21.2176	44.9243	46.4461	27.0753	30.3652	6.75136	31.7617	8.47558	0	7.35381	25.6956	19.4991	6.65391	8.18041	15.75	6.59068	34.8335	16.8672	9.04251	35.3207	10.2529	9.0373	7.28237
P221-PWY: octane oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.66226	0	0	0	0	0	0	0	0	0	0	0	0	0.208343	0	0	0.657228	0	2.71925
P23-PWY: reductive TCA cycle I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3281	0	0	0	0	0	17.5029	0	0	0	0	0	0	0	0	12.3234	0	0	0	2.12977	0	0	13.3766	4.22646	3.319
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0	0	0	6.93988	0	0	0	6.31341	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1615	0	0	0	0	0	0	0	0	0	0	0	10.6463	13.1053	0	0	47.2726	4.19244	43.9133
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	17.1759	196.681	33.9366	43.7113	289.952	28.4299	128.413	11.8291	456.383	251.916	109.349	386.225	67.3213	102.64	49.3984	82.1772	65.3313	127.634	364.465	1379.21	294.47	530.016	89.5029	435.541	156.031	35.3452	75.5373	146.884	104.267	81.1585	471.075	389.21	162.918	946.522	157.591	290.601	197.531	114.061	136.906	146.689
P42-PWY: incomplete reductive TCA cycle	6.30163	15.9794	0	0	10.5227	0	0	2.0036	0	8.99224	14.8139	0	0	0	0	4.88336	0	15.7146	3.94599	0	0	46.4811	7.69498	0	19.0509	0	7.96062	22.4505	4.60425	0	54.9415	36.5445	6.38134	104.075	12.569	9.71585	5.81856	50.4375	11.4451	13.199
P441-PWY: superpathway of N-acetylneuraminate degradation	0	14.0233	0	15.5591	56.5896	0	0	0	58.8759	42.2534	34.8076	55.8589	0	23.8476	12.3182	25.5689	0	22.6057	74.6381	33.4323	35.3249	329.906	0	138.363	26.0208	26.8462	35.828	51.0005	33.5671	0	138.335	62.5419	63.7009	145.402	74.0107	15.051	52.8929	95.486	72.7521	96.6054
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0	7.13684	0	8.76564	21.653	0	0	0	31.4309	3.20568	3.34649	11.7182	3.49567	0	0	9.55445	0	15.1617	94.5577	10.6739	26.0553	70.9246	0	29.0521	3.54719	0	0	5.70241	21.8623	0	28.1658	8.71064	21.4543	37.0523	29.0077	17.3841	198.046	63.6547	13.5213	46.2857
P621-PWY: nylon-6 oligomer degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75591	0	0	0	0	0	0	8.67294	7.08339	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	5.23502	68.9964	8.71443	20.131	32.3019	12.4327	13.499	30.5993	117.526	55.2591	77.2191	64.2356	17.71	9.04282	25.4657	40.3109	37.4411	22.0871	130.747	284.494	52.6474	99.9751	46.2332	86.621	120.37	37.4657	45.4167	47.7847	107.453	34.3652	129.605	82.5062	129.022	402.019	277.843	50.443	105.786	117.336	86.2583	284.444
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	0	83.2282	0	23.9136	43.5327	11.1761	18.5532	16.5291	124.78	67.0752	94.6122	97.6343	18.6943	15.8355	24.8461	42.0938	42.3583	30.1655	145.705	345.775	74.1118	119.731	46.3927	101.228	123.166	20.955	51.3892	57.5594	112.408	35.3918	160.078	102.869	139.148	459.123	300.804	61.7458	112.481	92.6586	94.7419	300.085
PENTOSE-P-PWY: pentose phosphate pathway	39.8254	60.0698	30.3153	57.3805	32.1327	116.683	107.951	120.677	30.1465	81.3354	121.874	39.5701	30.3905	36.3802	67.5969	47.8598	95.4851	89.3806	403.617	97.4031	177.921	181.034	53.4995	422.779	182.507	73.9833	156.279	170.52	133.523	83.6481	129.68	218.292	131.489	86.3993	126.361	113.08	158.92	410.439	170.714	158.966
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	7.79125	174.648	0	34.5257	92.4648	12.7025	34.4079	26.0333	166.247	103.61	123.894	230.947	14.5027	59.4381	36.6366	50.1779	96.6554	98.836	202.612	414.373	122.386	157.597	61.8022	160.004	163.815	47.4027	70.068	56.8117	111.586	45.7924	257.101	216.812	176.696	666.15	358.931	74.5336	147.459	125.565	88.2568	405.453
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0	41.3013	0	12.9694	31.6499	0	0	40.3515	0	13.6656	37.2551	30.4846	0	0	0	6.19904	9.97997	0	13.8587	40.5329	0	41.1765	15.7642	13.9652	38.6785	18.6772	7.46195	8.64044	51.6239	4.79692	45.1084	11.7771	29.3793	160.756	191.387	0	35.0684	139.491	44.7658	187.093
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9822	0	0	0	0	0	0	0	0	0	1.8705	0	9.84883	0	0	0	18.2593	0	8.36688	7.9745	14.7898	20.0057
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0	0	0	0	0	0	0	16.6719	3.72083	4.15528	0	0	0	0	0	0	0	0	9.06157	3.54664	0	14.3	0	6.8167	7.68043	0	3.87296	0	3.59137	0	11.853	0	22.6338	9.69571	28.7494	0	9.61058	34.9382	15.1768	65.121
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	4.93326	10.0341	0	0	0	0	0	12.097	10.6048	0	40.6187	0	4.98817	11.2829	0	8.95181	7.15254	8.63164	33.2545	59.0265	24.5798	37.1457	0	17.0794	31.7514	0	7.87466	16.9377	31.8681	14.1234	10.5061	22.1102	25.7431	20.2507	139.267	21.2918	11.6841	58.8734	41.4774	144.041
PPGPPMET-PWY: ppGpp metabolism	0	0	11.8103	0	8.99456	0	0	13.3399	5.54612	4.22435	20.3698	6.69584	0	6.32505	37.1112	0	2.34342	3.6318	14.0241	23.5503	15.9729	13.8102	14.4164	12.4903	29.0605	6.51672	8.91862	4.05513	4.88871	5.01098	6.57341	10.4016	53.0373	8.5415	46.9116	3.36816	14.609	24.9258	21.347	62.7656
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	0	0	0	0	0	0	0	0	5.361	0	0	0	0	0	4.11323	0	0	0	0	0	8.65512	0	0	14.2068	0	5.84982	0	11.8646	0	34.1766	4.56602	0	7.5813	10.6949	0	11.3937	4.74324	6.19296	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.665092
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.8766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6687	0	0
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171377	0
PWY-1042: glycolysis IV	77.9194	652.592	128.679	199.299	537.699	96.1835	237.227	310.982	772.943	529.079	586.706	657.807	144.233	289.17	271.47	212.37	377.994	375.16	1090.61	2754.64	762.876	900.169	219.304	831.458	435.887	258.403	307.4	374.474	342.659	238.134	1529.27	948.346	449.238	3640.85	568.446	473.368	506.283	778.471	333.422	551.605
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0	39.8643	0	5.17871	9.36283	0	9.43787	27.5202	8.21592	6.7351	21.6569	19.4922	5.35574	17.7091	0	7.79369	8.98399	30.8485	7.1175	49.115	8.66693	49.2343	1.81663	27.3017	13.1593	6.84153	8.84045	13.8266	26.8904	3.49537	37.1087	4.62628	22.831	273.043	98.7584	11.4634	17.7899	150.173	53.4301	87.0163
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	11.1483	0	0	0	16.5871	10.7818	0	0	13.3413	6.75759	17.7981	23.9951	0	4.93416	11.9911	11.7807	0	0	367.991	8.20482	0	0	0	0	23.7457	11.8238	58.1462	37.3313	122.954	0	22.2758	0	5.93319	3.92911	70.2444	21.8561	42.6824	23.633	0	69.4145
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	0	0	0	17.3906	0	0	11.9669	21.1547	0	0	0	0	7.74077	0	13.5442	9.07103	3.40427	6.64329	26.3429	64.3304	11.4441	44.8336	0	49.3322	6.34733	8.55765	0	11.3239	0	3.29851	28.0869	7.03262	0	10.9527	13.7053	15.7475	19.0118	122.722	29.2517	54.1855
PWY-2941: L-lysine biosynthesis II	5.735	25.0929	0	0	0	13.5807	0	0	9.44568	18.1288	35.5355	80.0757	6.71702	6.17028	16.1382	0	0	11.3531	6.12387	48.8501	47.5615	49.2624	35.0792	45.7413	21.7615	0	0	13.2261	24.6883	25.9178	54.2588	12.8992	35.8617	219.021	82.9543	21.9162	26.4842	40.4163	43.4577	122.176
PWY-2942: L-lysine biosynthesis III	24.8862	259.352	12.1517	39.6875	132.316	24.9482	46.5531	26.3819	153.097	148.957	128.987	238.398	36.3867	66.7089	61.0451	63.5347	82.9904	88.7932	249.298	567.992	186.828	248.068	72.2541	161.67	147.595	54.8468	74.5701	91.129	107.18	78.7996	343.218	232.96	143.31	534.369	276.243	125.98	190.343	135.569	86.9571	292.185
PWY-3001: superpathway of L-isoleucine biosynthesis I	8.69319	103.765	7.80544	18.2635	60.1768	10.7823	25.2387	25.4801	108.704	70.4971	101.25	93.3555	8.02206	44.3273	0	28.0812	35.9528	43.4931	171.054	295.758	90.2232	114.923	31.4825	135.683	102.995	34.863	35.9599	59.3968	75.4439	30.6551	187.975	117.735	107.583	280.02	190.749	78.2573	121.165	127.023	67.9629	198.686
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	8.12844	0	0	0	0	0	0	0	2.95064	0	0	0	0	4.07682	0	0	2.63512	0	0	0	0	3.06844	0	4.72998	0	0	0	0	0	0	0	0	0	0	0	0	1.02051
PWY-3801: sucrose degradation II (sucrose synthase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81794
PWY-3841: folate transformations II (plants)	28.9809	263.304	32.9617	92.7193	250.978	55.6917	106.054	49.8299	287.372	287.369	293.281	390.631	51.1489	115.989	90.6818	98.1281	134.604	149.836	296.344	768.327	243.038	303.371	150.595	334.632	170.735	64.4528	161.225	169.525	148.453	83.3479	471.857	377.591	234.232	941.465	337.343	201.066	269.809	231.963	121.929	367.542
PWY-4041: &gamma;-glutamyl cycle	5.98275	6.14399	0	9.08814	13.037	0	0	29.4758	13.3825	9.64395	42.1425	5.28576	0	0	0	3.10676	3.48805	6.25302	19.1104	3.86699	23.9317	48.8079	0	18.8959	13.7959	0	8.55677	12.2588	9.16721	2.5094	36.0889	12.5887	17.7825	9.51685	95.0745	31.3844	24.576	211.38	66.7756	56.3091
PWY-4984: urea cycle	0	12.4896	7.4059	20.1306	22.6564	10.9319	4.98398	11.2106	11.3929	7.28368	16.2059	10.8511	0	26.6714	14.5206	26.9879	25.4776	24.0861	81.8655	76.1788	10.1833	39.5285	3.67568	35.6213	31.6977	34.5547	26.1457	27.6717	29.917	18.0405	18.3801	53.078	29.7991	27.4169	130.976	20.6721	18.019	21.467	58.0342	180.298
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.4048	6.00546
PWY-5005: biotin biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	4.31662	0	0	0	0	0	0	0	0	0	0	0	0	6.12188	0	0	0	0	0	0	0	18.8407	60.2086	31.1821	0	6.44588	3.20922	0	17.7398
PWY-5022: 4-aminobutanoate degradation V	0	40.277	10.5131	0	19.0141	5.81191	7.1131	0	3.27605	5.91644	0	4.71445	12.6632	8.54235	16.4187	0	0	8.09466	0	0	0	20.7705	6.77904	28.9702	0	0	8.27484	20.982	6.22616	6.99608	41.9476	15.1625	9.7905	0	23.5025	8.99601	0	88.6568	8.35339	39.5448
PWY-5028: L-histidine degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03965	0	1.91488
PWY-5030: L-histidine degradation III	3.66817	6.35366	0	0	19.744	0	4.95534	0	0	28.7779	134.208	0	4.92819	23.2886	25.9159	13.775	19.7468	19.447	71.2371	42.5925	22.0831	100.301	0	42.58	15.2932	0	11.4014	38.5037	40.862	14.4431	16.386	44.4129	28.2457	0	81.5753	20.11	0	18.6835	48.9503	91.3355
PWY-5097: L-lysine biosynthesis VI	9.40021	259.515	7.82362	23.0426	101.917	19.7951	32.7991	25.3636	154.362	123.34	114.966	181.065	19.8804	35.8806	50.0192	50.3238	81.0114	73.1663	248.668	415.281	142.595	174.402	74.0463	151.564	145.872	36.3328	77.6988	78.6379	106.658	56.845	359.123	193.826	154.956	418.307	279.123	110.089	156.097	94.9827	80.0895	298.374
PWY-5100: pyruvate fermentation to acetate and lactate II	17.1759	196.681	33.9366	43.7113	289.952	28.4299	128.413	11.8291	456.383	251.916	109.349	386.225	67.3213	102.64	49.3984	82.1772	65.3313	127.634	364.465	1379.21	294.47	530.016	89.5029	435.541	156.031	35.3452	75.5373	146.884	104.267	81.1585	471.075	389.21	162.918	1309.19	157.591	290.601	197.531	114.061	136.906	146.689
PWY-5103: L-isoleucine biosynthesis III	20.0495	259.708	8.64104	50.1598	193.411	44.7382	56.1792	23.6517	330.524	139.977	161.505	394.332	32.6612	114.922	48.6478	69.3453	128.586	99.9491	257.276	791.244	138.647	158.942	61.0756	210.098	164.694	41.9451	78.6456	140.212	139.243	47.0111	421.542	283.432	180.873	579.925	287.535	132.699	190.262	152.547	92.4153	273.329
PWY-5104: L-isoleucine biosynthesis IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15986	0	0	8.10372	0	29.0275
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0	24.515	0	0	0	0	6.88833	8.63273	27.0411	29.9454	59.1661	7.35176	7.42259	28.082	0	17.3327	16.5596	15.2732	73.8596	95.7608	54.4369	33.5552	0	55.2929	49.5279	0	25.1227	31.2317	50.0303	20.8338	28.6553	44.0114	65.277	70.8039	197.716	26.9203	11.3522	56.5802	48.9585	205.726
PWY-5130: 2-oxobutanoate degradation I	10.4912	29.5012	0	0	13.7448	0	1.32511	5.67944	9.19894	30.5028	2.44898	0	6.81136	2.54723	17.3251	17.5641	6.96157	8.80728	24.8225	71.289	22.7947	67.5392	0	0	3.92309	0	8.3051	45.1254	6.85465	4.64308	56.3156	19.7028	3.45274	22.2878	32.4903	9.04791	14.5936	14.191	7.4908	31.2852
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0	0	0	0	0	0	0	14.4719	0	2.36272	13.0819	0	0	0	0	0	0	0	6.37534	0	5.65648	32.9283	0	4.45718	0	0	3.83423	3.17442	1.98704	0	14.0682	10.9397	0	9.13595	15.3463	0	12.1548	118.043	33.5331	40.6658
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19751	0	0	58.3996	2.41597	5.41048
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0	70.3386	0	11.1506	7.57723	0	14.413	16.4435	56.1795	35.8633	66.6894	80.1792	0	32.0915	15.2324	15.098	37.25	7.21793	72.7495	211.196	45.4055	46.4693	27.6346	60.4669	65.7487	12.4044	32.8745	43.7923	52.8363	13.0363	82.7589	34.4535	28.7238	201.111	185.932	28.7465	55.2059	110.869	48.6002	174.506
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.30869	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0	11.5361	0	0	15.6711	0	0	10.2176	20.6579	0	53.745	13.4687	0	0	0	5.26342	3.09428	0	18.9695	77.8715	14.3306	41.8245	32.2898	24.8062	47.6602	0	10.1727	4.74149	27.0498	6.60242	24.0013	12.6352	68.0532	102.422	79.4639	14.0255	21.992	79.9043	18.8035	78.5735
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0	0	0	0	0	0	0	7.39502	0	2.26575	0	0	0	0	0	0	0	0	2.40522	0	0	15.2068	0	0	0	0	0	0	0	0	3.34229	0	0	3.13917	12.4098	0	2.6082	48.0899	14.906	17.6743
PWY-5198: factor 420 biosynthesis II (mycobacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01363	0	0	0	0	0	0	0	0	0	0	0	0	7.76745
PWY-5209: methyl-coenzyme M oxidation to CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73839	0	0	0	1.43154	0	0	0	0	0	0	0	0	6.69446
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0	0	0	0	0	0	0	0	0	0	34.3268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.318	0	0	5.68012	0	0	31.5039	0	0	0	45.3383	18.8408	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0	0	0	11.975	0	0	0	9.95671	0	10.4755	14.1913	0	0	0	0	0	0	0	0	0	0	40.5609	11.6101	0	15.2034	0	9.93806	0	19.3028	15.0568	0	0	25.9716	0	34.4147	8.04291	19.7074	90.1079	20.4714	90.5961
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0	0	0	11.3166	0	0	0	15.0091	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8837	0	0	0	0	0	0	0	0	0	0	4.79432	28.5674	13.1013	0	4.1451	36.012	2.64911	55.2815
PWY-5367: petroselinate biosynthesis	0	3.66299	0	0	10.165	0	0	10.8936	0	0	0	0	0	0	0	0	0	0	0	0	7.49735	16.39	0	0	0	0	0	0	2.46987	0	6.14953	0	4.49338	7.34227	12.7869	4.76154	4.12676	34.1044	9.47835	20.1591
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0	0	0	5.33915	4.74128	0	8.07259	5.98294	21.8434	0	6.48564	60.2143	4.14818	0	4.16294	0	16.4806	4.84464	20.262	49.9123	39.498	8.59135	7.8642	28.4387	36.0072	12.513	4.49713	6.9769	15.0059	0	18.4444	5.55437	33.6435	10.0941	137.273	13.9136	85.5017	132.508	24.9711	105.7
PWY-5392: reductive TCA cycle II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.98085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6528
PWY-5415: catechol degradation I (meta-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33972	0	0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57946
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57946
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	23.3378	74.4306	61.6271	92.0639	151.902	62.0844	122.886	172.159	239.554	114.291	149.726	243.23	62.8249	112.547	110.608	90.7781	140.063	221.814	443.282	832.894	233.702	441.278	61.7046	415.699	171.455	148.222	177.497	202.526	157.143	116.981	467.415	322.166	131.604	249.97	136.089	166.554	266.712	698.257	223.429	172.208
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)	0	0	0	2.54208	48.9919	0	3.93948	0	0	13.3129	0	5.9003	0	6.07745	0	2.83947	5.74214	10.4401	0	2.99033	0	21.7156	3.36957	0	14.0703	0	4.48077	34.8123	9.15251	0	29.5874	9.16479	0	10.5443	6.20411	7.07925	8.97901	2.2158	16.6276	0
PWY-5497: purine nucleobases degradation II (anaerobic)	0	0	0	0	8.4947	0	0	0	0	5.11313	19.41	0	0	0	0	0	0	0	10.8909	11.9123	0	14.2464	0	0	6.94816	0	3.32195	14.9693	0	0	8.12746	9.80624	0	0	20.8063	10.8486	0	19.5371	17.012	21.5127
PWY-5505: L-glutamate and L-glutamine biosynthesis	0	48.4076	0	0	6.31129	4.61926	3.30397	0	29.6735	12.889	13.2249	9.4405	0	3.93628	0	4.90048	3.94881	5.14541	22.4406	52.756	0	36.1152	7.36312	0	25.9535	0	4.03405	12.1401	15.3663	10.2525	35.1539	6.72042	18.3117	19.2623	91.6393	6.45787	4.83518	21.8671	15.3843	66.5786
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05639
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0	0	0	0	0	0	0	31.6506	0	0	0	0	0	0	0	0	0	0	9.86184	0	0	29.5385	0	0	0	0	7.27677	5.47999	0	0	0	0	0	0	9.20037	0	8.56169	249.05	41.2578	38.7743
